scientific_name,scientific_name_authorship,family,scientific_name_OTU,id_vetting_by,herbarium_code,voucher_herbarium_collector_id,voucher_herbarium_catalog_number ,voucher_collection_number ,voucher_herbarium_recorded_by ,voucher_herbarium_event_date ,silica_gel_pressed_sheet,decimal_latitude ,decimal_longitude,country ,state_or_territory,location_ID  ,location_notes,DArT_plate ,DArT_row,DArT_column,pop ,id,pop (broader groups for population stats),long format pop ,Main_PCA_group,Secondary_PCA_groups,Tertiary_PCA_group,Quarternary_PCA_group,Quinary_PCA_group,sens lat complex
Melichrus urceolatus,R.Br.,Ericaceae,M. medius,Helen_Kennedy,NE,H.T. Kennedy,111555,122,H.T. Kennedy,19-Apr-21,silica gel,-34.5899,149.743,Australia,NSW,Middle Arm,NNT,6,D,9,M.urceolatus_MiddleArm,HTK122,urcMidCarNew,M.urceolatus_CarcoarMiddleArmNewbridge,A,AA,AAB,AABA,NA,Melichrus urceolatus
Melichrus urceolatus,R.Br.,Ericaceae,M. medius,Helen_Kennedy,NE,H.T. Kennedy,111555,122,H.T. Kennedy,19-Apr-21,silica gel,-34.5899,149.743,Australia,NSW,Middle Arm,NNT,6,E,9,M.urceolatus_MiddleArm,HTK122a,urcMidCarNew,M.urceolatus_CarcoarMiddleArmNewbridge,A,AA,AAB,AABA,NA,Melichrus urceolatus
Melichrus urceolatus,R.Br.,Ericaceae,M. medius,Helen_Kennedy,NE,H.T. Kennedy,111555,122,H.T. Kennedy,19-Apr-21,silica gel,-34.5899,149.743,Australia,NSW,Middle Arm,NNT,6,F,9,M.urceolatus_MiddleArm,HTK122c,urcMidCarNew,M.urceolatus_CarcoarMiddleArmNewbridge,A,AA,AAB,AABA,NA,Melichrus urceolatus
Melichrus urceolatus,R.Br.,Ericaceae,M. medius,Helen_Kennedy,NE,H.T. Kennedy,111555,122,H.T. Kennedy,19-Apr-21,silica gel,-34.5899,149.743,Australia,NSW,Middle Arm,NNT,6,G,9,M.urceolatus_MiddleArm,HTK122e,urcMidCarNew,M.urceolatus_CarcoarMiddleArmNewbridge,A,AA,AAB,AABA,NA,Melichrus urceolatus
Melichrus urceolatus,R.Br.,Ericaceae,M. medius,Helen_Kennedy,NE,H.T. Kennedy,109308,5,H.T. Kennedy,16-Apr-19,silica gel,-35.039,149.1686389,Australia,NSW,"Willevere', Gundaroo",NST,1,B,11,M.urceolatus_Gundaroo,HTK5a,urcACT,M.urceolatus_ACT,A,AA,AAB,AABA,NA,Melichrus urceolatus
Melichrus urceolatus,R.Br.,Ericaceae,M. medius,Helen_Kennedy,NE,H.T. Kennedy,109308,5,H.T. Kennedy,17-Apr-19,silica gel,-35.039,149.1686389,Australia,NSW,"Willevere', Gundaroo",NST,1,C,11,M.urceolatus_Gundaroo,HTK5b,urcACT,M.urceolatus_ACT,A,AA,AAB,AABA,NA,Melichrus urceolatus
Melichrus urceolatus,R.Br.,Ericaceae,M. medius,Helen_Kennedy,NE,H.T. Kennedy,109308,5,H.T. Kennedy,18-Apr-19,silica gel,-35.039,149.1686389,Australia,NSW,"Willevere', Gundaroo",NST,1,D,11,M.urceolatus_Gundaroo,HTK5d,urcACT,M.urceolatus_ACT,A,AA,AAB,AABA,NA,Melichrus urceolatus
Melichrus urceolatus,R.Br.,Ericaceae,M. medius,Helen_Kennedy,NE,H.T. Kennedy,109308,5,H.T. Kennedy,19-Apr-19,silica gel,-35.039,149.1686389,Australia,NSW,"Willevere', Gundaroo",NST,1,E,11,M.urceolatus_Gundaroo,HTK5e,urcACT,M.urceolatus_ACT,A,AA,AAB,AABA,NA,Melichrus urceolatus
Melichrus urceolatus,R.Br.,Ericaceae,M. medius,Helen_Kennedy,NE,H.T. Kennedy,109309,6,H.T. Kennedy,17-Apr-19,silica gel,-34.9755556,149.2081667,Australia,NSW,Gang Gang' Yass,NST,2,F,11,M.urceolatus_Yass,HTK6a,urcACT,M.urceolatus_ACT,A,AA,AAB,AABA,NA,Melichrus urceolatus
Melichrus urceolatus,R.Br.,Ericaceae,M. medius,Helen_Kennedy,NE,H.T. Kennedy,109309,6,H.T. Kennedy,17-Apr-19,silica gel,-34.9755556,149.2081667,Australia,NSW,Gang Gang' Yass,NST,2,G,11,M.urceolatus_Yass,HTK6c,urcACT,M.urceolatus_ACT,A,AA,AAB,AABA,NA,Melichrus urceolatus
